Coluna1	Coluna2	Coluna3	Coluna4	 Coluna5 	Coluna6	Coluna7	Coluna8	Coluna9	Coluna10	Coluna11
Carlitos		HTML 200		2240	8	40383	Pessoa Física	Euletério	Terça-feira	São Paulo
Flaviana		Excel Básico		2479	12	41397	Pessoa Física	Fábio	Personalizado	São Paulo
Santoro		Excel Intermediário		3200	10	41890	Pessoa Física	Joaquim	Manhã	São Paulo
Leudissandro		Excel Avançado		3921	12	41134	Pessoa Jurídica	Lívia	Tarde	São Paulo
Paola		Excel BI		780	9	42356	Pessoa Jurídica	Rossana	Noite	São Paulo
Andrázio		Excel VBA Básico		980	9	41725	Pessoa Jurídica	Euletério	Integral	São Paulo
Luciana		Excel VBA avançado		1020	11	41544	Pessoa Física	Fábio	Madrugada	São Paulo
Florisbela		Access + VBA		1340	12	42461	Pessoa Jurídica	Joaquim	Quarta-feira	São Paulo
Leonardo		JavaScript Básico		1870	9	41507	Pessoa Física	Lívia	Quinta-feira	São Paulo
Carlitos		JavaScript Avançado		1910	12	40954	Pessoa Física	Rossana	Personalizado	São Paulo
Flaviana		SQL Básico		2240	9	40232	Pessoa Física	Euletério	Manhã	São Paulo
Santoro		SQL Avançado		2479	11	41441	Pessoa Jurídica	Fábio	Tarde	São Paulo
Leudissandro		Css Básico		3200	12	40839	Pessoa Jurídica	Joaquim	Noite	São Paulo
Paola		Css Avançado		3921	9	40960	Pessoa Jurídica	Lívia	Integral	São Paulo
Andrázio		MySQL		780	12	40122	Pessoa Física	Fábio	Madrugada	São Paulo
Luciana		HTML 201		980	9	41648	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
Florisbela		Excel Básico		1020	8	41389	Pessoa Física	Lívia	Sábado	São Paulo
Leonardo		Excel Intermediário		1340	10	42256	Pessoa Física	Rossana	Personalizado	São Paulo
Carlitos		Excel Avançado		1870	9	40571	Pessoa Física	Euletério	Manhã	São Paulo
Flaviana		Excel BI		1910	8	40307	Pessoa Jurídica	Fábio	Tarde	São Paulo
Santoro		Excel VBA Básico		2240	10	40990	Pessoa Jurídica	Joaquim	Noite	São Paulo
Leudissandro		Excel VBA avançado		2479	12	41888	Pessoa Jurídica	Lívia	Integral	São Paulo
Paola		Access + VBA		3200	9	41837	Pessoa Física	Rossana	Madrugada	São Paulo
Andrázio		JavaScript Básico		3921	8	42244	Pessoa Jurídica	Euletério	Domingo	São Paulo
Luciana		JavaScript Avançado		780	12	42197	Pessoa Física	Fábio	Segunda-feira	São Paulo
Florisbela		SQL Básico		980	12	40167	Pessoa Física	Joaquim	Personalizado	São Paulo
Leonardo		SQL Avançado		1020	10	41618	Pessoa Física	Lívia	Manhã	São Paulo
Carlitos		Css Básico		1340	11	40423	Pessoa Jurídica	Rossana	Tarde	São Paulo
Flaviana		Css Avançado		1870	11	41552	Pessoa Jurídica	Euletério	Noite	São Paulo
Santoro		MySQL		1910	11	41600	Pessoa Jurídica	Fábio	Integral	São Paulo
Leudissandro		HTML 202		2240	9	40280	Pessoa Física	Joaquim	Madrugada	São Paulo
Paola		Excel Básico		2479	11	42306	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Andrázio		Excel Intermediário		3200	12	40387	Pessoa Física	Rossana	Quarta-feira	Bahia
Luciana		Excel Avançado		3921	12	41009	Pessoa Física	Euletério	Personalizado	Brasília
Florisbela		Excel BI		780	12	41418	Pessoa Física	Fábio	Manhã	Ceará
Leonardo		Excel VBA Básico		980	8	41546	Pessoa Jurídica	Joaquim	Tarde	Goiás
Carlitos		Excel VBA avançado		1020	9	41719	Pessoa Jurídica	Lívia	Noite	Minas Gerais
Flaviana		Access + VBA		1340	9	42312	Pessoa Jurídica	Rossana	Integral	Minas Gerais
Santoro		JavaScript Básico		1870	9	42218	Pessoa Física	Euletério	Madrugada	Minas Gerais
Leudissandro		JavaScript Avançado		1910	10	41184	Pessoa Jurídica	Fábio	Quinta-feira	Minas Gerais
Paola		SQL Básico		2240	10	42491	Pessoa Física	Joaquim	Sexta-feira	Paraná
Andrázio		SQL Avançado		2479	10	42434	Pessoa Física	Lívia	Personalizado	Pernambuco
Luciana		Css Básico		3200	9	40739	Pessoa Física	Fábio	Manhã	Pernambuco
Florisbela		Css Avançado		3921	12	40640	Pessoa Jurídica	Joaquim	Tarde	Pernambuco
Leonardo		MySQL		780	8	40185	Pessoa Jurídica	Lívia	Noite	Rio de Janeiro
Carlitos		HTML 203		980	8	41520	Pessoa Jurídica	Rossana	Integral	Rio de Janeiro
Flaviana		Excel Básico		1020	10	40414	Pessoa Física	Euletério	Madrugada	Rio de Janeiro
Santoro		Excel Intermediário		1340	12	40422	Pessoa Jurídica	Fábio	Sábado	Rio de Janeiro
Leudissandro		Excel Avançado		1870	11	41742	Pessoa Física	Joaquim	Domingo	Rio Grande do Sul
Paola		Excel BI		1910	11	41909	Pessoa Física	Lívia	Personalizado	Rio Grande do Sul
Andrázio		Excel VBA Básico		2240	9	41592	Pessoa Física	Rossana	Manhã	São Paulo
Luciana		Excel VBA avançado		2479	11	40978	Pessoa Jurídica	Euletério	Tarde	São Paulo
Florisbela		Access + VBA		3200	10	41284	Pessoa Jurídica	Fábio	Noite	São Paulo
Leonardo		JavaScript Básico		3921	11	40165	Pessoa Jurídica	Joaquim	Integral	São Paulo
Carlitos		JavaScript Avançado		780	9	40994	Pessoa Física	Lívia	Madrugada	São Paulo
Flaviana		SQL Básico		980	10	41991	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Santoro		SQL Avançado		1020	11	40950	Pessoa Física	Euletério	Terça-feira	São Paulo
Leudissandro		Css Básico		1340	10	41349	Pessoa Física	Fábio	Personalizado	São Paulo
Paola		Css Avançado		1870	9	40519	Pessoa Física	Joaquim	Manhã	Bahia
Andrázio		MySQL		1910	10	40686	Pessoa Jurídica	Lívia	Tarde	Bahia
Luciana		HTML 204		2240	12	41872	Pessoa Jurídica	Rossana	Noite	Maranhão
Florisbela		Excel Básico		2479	9	40533	Pessoa Jurídica	Euletério	Integral	Minas Gerais
Leonardo		Excel Intermediário		3200	9	41933	Pessoa Física	Fábio	Madrugada	Minas Gerais
Carlitos		Excel Avançado		3921	9	42316	Pessoa Jurídica	Joaquim	Quarta-feira	Minas Gerais
Flaviana		Excel BI		780	10	40394	Pessoa Física	Lívia	Quinta-feira	Minas Gerais
Santoro		Excel VBA Básico		980	12	40854	Pessoa Física	Rossana	Personalizado	Minas Gerais
Leudissandro		Excel VBA avançado		1020	9	41497	Pessoa Física	Euletério	Manhã	Minas Gerais
Paola		Access + VBA		1340	9	40544	Pessoa Jurídica	Fábio	Tarde	Minas Gerais
Andrázio		JavaScript Básico		1870	10	40167	Pessoa Jurídica	Joaquim	Noite	Paraná
Luciana		JavaScript Avançado		1910	11	42163	Pessoa Jurídica	Lívia	Integral	Paraná
Florisbela		SQL Básico		2240	10	41110	Pessoa Física	Fábio	Madrugada	Paraná
Leonardo		SQL Avançado		2479	10	41415	Pessoa Jurídica	Joaquim	Sexta-feira	Piauí
Carlitos		Css Básico		3200	12	40034	Pessoa Física	Lívia	Sábado	Rio de Janeiro
Flaviana		Css Avançado		3921	8	42350	Pessoa Física	Rossana	Personalizado	Rio Grande do Sul
Santoro		MySQL		780	10	42080	Pessoa Física	Euletério	Manhã	Rio Grande do Sul
Leudissandro		HTML 205		980	10	40181	Pessoa Jurídica	Fábio	Tarde	Rio Grande do Sul
Paola		Excel Básico		1020	8	40975	Pessoa Jurídica	Joaquim	Noite	Rio Grande do Sul
Andrázio		Excel Intermediário		1340	10	41397	Pessoa Jurídica	Lívia	Integral	Rio Grande do Sul
Luciana		Excel Avançado		1870	9	40821	Pessoa Física	Rossana	Madrugada	Santa Catarina
Florisbela		Excel BI		1910	8	40088	Pessoa Jurídica	Euletério	Domingo	Santa Catarina
Leonardo		Excel VBA Básico		2240	11	40591	Pessoa Física	Fábio	Segunda-feira	São Paulo
Carlitos		Excel VBA avançado		2479	9	42283	Pessoa Física	Joaquim	Personalizado	São Paulo
Flaviana		Access + VBA		3200	8	41360	Pessoa Física	Lívia	Manhã	São Paulo
Santoro		JavaScript Básico		3921	12	42448	Pessoa Jurídica	Rossana	Tarde	São Paulo
Leudissandro		JavaScript Avançado		780	9	41978	Pessoa Jurídica	Euletério	Noite	São Paulo
Paola		SQL Básico		980	9	40192	Pessoa Jurídica	Fábio	Integral	São Paulo
Andrázio		SQL Avançado		1020	11	42430	Pessoa Física	Joaquim	Madrugada	São Paulo
Luciana		Css Básico		1340	11	40725	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Florisbela		Css Avançado		1870	10	41423	Pessoa Física	Rossana	Quarta-feira	São Paulo
Leonardo		MySQL		1910	10	42439	Pessoa Física	Euletério	Personalizado	São Paulo
Carlitos		HTML 206		2240	10	41682	Pessoa Física	Fábio	Manhã	São Paulo
Flaviana		Excel Básico		2479	12	40294	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Santoro		Excel Intermediário		3200	8	41941	Pessoa Jurídica	Lívia	Noite	São Paulo
Leudissandro		Excel Avançado		3921	9	41839	Pessoa Jurídica	Rossana	Integral	São Paulo
Paola		Excel BI		780	9	41728	Pessoa Física	Euletério	Madrugada	São Paulo
Andrázio		Excel VBA Básico		980	11	40315	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Luciana		Excel VBA avançado		1020	8	41559	Pessoa Física	Joaquim	Sexta-feira	São Paulo
Florisbela		Access + VBA		1340	10	40912	Pessoa Física	Lívia	Personalizado	São Paulo
Leonardo		JavaScript Básico		1870	8	42107	Pessoa Física	Fábio	Manhã	São Paulo
Carlitos		JavaScript Avançado		1910	10	41760	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Flaviana		SQL Básico		2240	11	42423	Pessoa Jurídica	Lívia	Noite	São Paulo
Santoro		SQL Avançado		2479	12	40998	Pessoa Jurídica	Rossana	Integral	São Paulo
Leudissandro		Css Básico		3200	10	41555	Pessoa Física	Euletério	Madrugada	São Paulo
Paola		Css Avançado		3921	11	42170	Pessoa Jurídica	Fábio	Sábado	São Paulo
Andrázio		MySQL		780	12	40793	Pessoa Física	Joaquim	Domingo	São Paulo
Luciana		HTML 207		980	9	41579	Pessoa Física	Lívia	Personalizado	São Paulo
Florisbela		Excel Básico		1020	9	41013	Pessoa Física	Rossana	Manhã	São Paulo
Leonardo		Excel Intermediário		1340	8	40536	Pessoa Jurídica	Euletério	Tarde	São Paulo
Carlitos		Excel Avançado		1870	11	42431	Pessoa Jurídica	Fábio	Noite	São Paulo
Flaviana		Excel BI		1910	9	41115	Pessoa Jurídica	Joaquim	Integral	São Paulo
Santoro		Excel VBA Básico		2240	8	40819	Pessoa Física	Lívia	Madrugada	São Paulo
Leudissandro		Excel VBA avançado		2479	11	42097	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Paola		Access + VBA		3200	11	40753	Pessoa Física	Euletério	Terça-feira	São Paulo
Andrázio		JavaScript Básico		3921	8	41411	Pessoa Física	Fábio	Personalizado	São Paulo
Luciana		JavaScript Avançado		780	10	40517	Pessoa Física	Joaquim	Manhã	São Paulo
Florisbela		SQL Básico		980	11	41982	Pessoa Jurídica	Lívia	Tarde	Bahia
Leonardo		SQL Avançado		1020	10	41651	Pessoa Jurídica	Rossana	Noite	Bahia
Carlitos		Css Básico		1340	10	40603	Pessoa Jurídica	Euletério	Integral	Bahia
Flaviana		Css Avançado		1870	8	40823	Pessoa Física	Fábio	Madrugada	Bahia
Santoro		MySQL		1910	9	40144	Pessoa Jurídica	Joaquim	Quarta-feira	Bahia
Leudissandro		HTML 208		2240	10	40350	Pessoa Física	Lívia	Quinta-feira	Bahia
Paola		Excel Básico		2479	12	41253	Pessoa Física	Rossana	Personalizado	Bahia
Andrázio		Excel Intermediário		3200	10	41397	Pessoa Física	Euletério	Manhã	Bahia
Luciana		Excel Avançado		3921	11	42313	Pessoa Jurídica	Fábio	Tarde	Bahia
Florisbela		Excel BI		780	12	40561	Pessoa Jurídica	Joaquim	Noite	Bahia
Leonardo		Excel VBA Básico		980	10	41056	Pessoa Jurídica	Lívia	Integral	Bahia
Carlitos		Excel VBA avançado		1020	12	40262	Pessoa Física	Fábio	Madrugada	Bahia
Flaviana		Access + VBA		1340	9	41636	Pessoa Jurídica	Joaquim	Sexta-feira	Ceará
Santoro		JavaScript Básico		1870	12	40477	Pessoa Física	Lívia	Sábado	Ceará
Leudissandro		JavaScript Avançado		1910	12	40431	Pessoa Física	Rossana	Personalizado	Ceará
Paola		SQL Básico		2240	11	41854	Pessoa Física	Euletério	Manhã	Ceará
Andrázio		SQL Avançado		2479	12	42261	Pessoa Jurídica	Fábio	Tarde	Ceará
Luciana		Css Básico		3200	9	42483	Pessoa Jurídica	Joaquim	Noite	Espírito Santo
Florisbela		Css Avançado		3921	11	40189	Pessoa Jurídica	Lívia	Integral	Espírito Santo
Leonardo		MySQL		780	11	40604	Pessoa Física	Rossana	Madrugada	Minas Gerais
Carlitos		HTML 209		980	12	41753	Pessoa Jurídica	Euletério	Domingo	Minas Gerais
Flaviana		Excel Básico		1020	9	40714	Pessoa Física	Fábio	Segunda-feira	Minas Gerais
Santoro		Excel Intermediário		1340	8	41220	Pessoa Física	Joaquim	Personalizado	Minas Gerais
Leudissandro		Excel Avançado		1870	9	42152	Pessoa Física	Lívia	Manhã	Minas Gerais
Paola		Excel BI		1910	10	40502	Pessoa Jurídica	Rossana	Tarde	Minas Gerais
Andrázio		Excel VBA Básico		2240	9	41997	Pessoa Jurídica	Euletério	Noite	Minas Gerais
Luciana		Excel VBA avançado		2479	11	40556	Pessoa Jurídica	Fábio	Integral	Paraná
Florisbela		Access + VBA		3200	8	41585	Pessoa Física	Joaquim	Madrugada	Paraná
Leonardo		JavaScript Básico		3921	10	41851	Pessoa Jurídica	Lívia	Terça-feira	Paraná
Carlitos		JavaScript Avançado		780	10	40900	Pessoa Física	Rossana	Quarta-feira	Paraná
Flaviana		SQL Básico		980	10	42215	Pessoa Física	Euletério	Personalizado	Pernambuco
Santoro		SQL Avançado		1020	8	40252	Pessoa Física	Fábio	Manhã	Pernambuco
Leudissandro		Css Básico		1340	8	41224	Pessoa Jurídica	Joaquim	Tarde	Pernambuco
Paola		Css Avançado		1870	11	40576	Pessoa Jurídica	Lívia	Noite	Pernambuco
Andrázio		MySQL		1910	10	40867	Pessoa Jurídica	Rossana	Integral	Pernambuco
Luciana		HTML 210		2240	12	40328	Pessoa Física	Euletério	Madrugada	Pernambuco
Florisbela		Excel Básico		2479	12	40050	Pessoa Jurídica	Fábio	Quinta-feira	Pernambuco
Leonardo		Excel Intermediário		3200	10	41776	Pessoa Física	Joaquim	Sexta-feira	Rio de Janeiro
Carlitos		Excel Avançado		3921	11	41971	Pessoa Física	Lívia	Personalizado	Rio de Janeiro
Flaviana		Excel BI		780	10	41485	Pessoa Física	Fábio	Manhã	Rio de Janeiro
Santoro		Excel VBA Básico		980	8	42033	Pessoa Jurídica	Joaquim	Tarde	Rio de Janeiro
Leudissandro		Excel VBA avançado		1020	10	41370	Pessoa Jurídica	Lívia	Noite	Rio de Janeiro
Paola		Access + VBA		1340	12	41944	Pessoa Jurídica	Rossana	Integral	Rio de Janeiro
Andrázio		JavaScript Básico		1870	10	41574	Pessoa Física	Euletério	Madrugada	Rio de Janeiro
Luciana		JavaScript Avançado		1910	9	41760	Pessoa Jurídica	Fábio	Sábado	Rio de Janeiro
Florisbela		SQL Básico		2240	10	41495	Pessoa Física	Joaquim	Domingo	Rio Grande do Sul
Leonardo		SQL Avançado		2479	10	41749	Pessoa Física	Lívia	Personalizado	Rio Grande do Sul
Carlitos		Css Básico		3200	12	42040	Pessoa Física	Rossana	Manhã	Rio Grande do Sul
Flaviana		Css Avançado		3921	9	40082	Pessoa Jurídica	Euletério	Tarde	Rio Grande do Sul
Santoro		MySQL		780	9	41805	Pessoa Jurídica	Fábio	Noite	Rio Grande do Sul
Leudissandro		HTML 211		980	10	40480	Pessoa Jurídica	Joaquim	Integral	Rio Grande do Sul
Paola		Excel Básico		1020	11	41291	Pessoa Física	Lívia	Madrugada	Rio Grande do Sul
Andrázio		Excel Intermediário		1340	11	41965	Pessoa Jurídica	Rossana	Segunda-feira	Rio Grande do Sul
Luciana		Excel Avançado		1870	11	40909	Pessoa Física	Euletério	Terça-feira	Rio Grande do Sul
Florisbela		Excel BI		1910	9	40842	Pessoa Física	Fábio	Personalizado	Rio Grande do Sul
Leonardo		Excel VBA Básico		2240	8	41862	Pessoa Física	Joaquim	Manhã	Rio Grande do Sul
Carlitos		Excel VBA avançado		2479	11	42432	Pessoa Jurídica	Lívia	Tarde	Santa Catarina
Flaviana		Access + VBA		3200	9	41729	Pessoa Jurídica	Rossana	Noite	Santa Catarina
Santoro		JavaScript Básico		3921	8	40929	Pessoa Jurídica	Euletério	Integral	Santa Catarina
Leudissandro		JavaScript Avançado		780	10	41664	Pessoa Física	Fábio	Madrugada	São Paulo
Paola		SQL Básico		980	9	40157	Pessoa Jurídica	Joaquim	Quarta-feira	São Paulo
Andrázio		SQL Avançado		1020	12	42430	Pessoa Física	Lívia	Quinta-feira	São Paulo
Luciana		Css Básico		1340	12	41979	Pessoa Física	Rossana	Personalizado	São Paulo
Florisbela		Css Avançado		1870	12	40065	Pessoa Física	Euletério	Manhã	São Paulo
Leonardo		MySQL		1910	12	41396	Pessoa Jurídica	Fábio	Tarde	São Paulo
Carlitos		HTML 212		2240	8	41527	Pessoa Jurídica	Joaquim	Noite	São Paulo
Flaviana		Excel Básico		2479	9	42413	Pessoa Jurídica	Lívia	Integral	São Paulo
Santoro		Excel Intermediário		3200	8	41905	Pessoa Física	Fábio	Madrugada	São Paulo
Leudissandro		Excel Avançado		3921	11	40468	Pessoa Jurídica	Joaquim	Sexta-feira	São Paulo
Paola		Excel BI		780	11	41582	Pessoa Física	Lívia	Sábado	São Paulo
Andrázio		Excel VBA Básico		980	11	41731	Pessoa Física	Rossana	Personalizado	São Paulo
Luciana		Excel VBA avançado		1020	8	40365	Pessoa Física	Euletério	Manhã	São Paulo
Florisbela		Access + VBA		1340	12	42259	Pessoa Jurídica	Fábio	Tarde	São Paulo
Leonardo		JavaScript Básico		1870	12	41143	Pessoa Jurídica	Joaquim	Noite	São Paulo
Carlitos		JavaScript Avançado		1910	12	41588	Pessoa Jurídica	Lívia	Integral	São Paulo
Flaviana		SQL Básico		2240	10	40343	Pessoa Física	Rossana	Madrugada	São Paulo
Santoro		SQL Avançado		2479	11	40683	Pessoa Jurídica	Euletério	Domingo	São Paulo
Leudissandro		Css Básico		3200	9	42109	Pessoa Física	Fábio	Segunda-feira	São Paulo
Paola		Css Avançado		3921	12	40762	Pessoa Física	Joaquim	Personalizado	São Paulo
Andrázio		MySQL		780	9	41304	Pessoa Física	Lívia	Manhã	São Paulo
Luciana		HTML 213		980	9	41632	Pessoa Jurídica	Rossana	Tarde	São Paulo
Florisbela		Excel Básico		1020	12	41515	Pessoa Jurídica	Euletério	Noite	São Paulo
Leonardo		Excel Intermediário		1340	8	40980	Pessoa Jurídica	Fábio	Integral	São Paulo
Carlitos		Excel Avançado		1870	11	40333	Pessoa Física	Joaquim	Madrugada	São Paulo
Flaviana		Excel BI		1910	10	42314	Pessoa Jurídica	Lívia	Terça-feira	São Paulo
Santoro		Excel VBA Básico		2240	11	40927	Pessoa Física	Rossana	Quarta-feira	São Paulo
Leudissandro		Excel VBA avançado		2479	9	40149	Pessoa Física	Euletério	Personalizado	São Paulo
Paola		Access + VBA		3200	11	41567	Pessoa Física	Fábio	Manhã	São Paulo
Andrázio		JavaScript Básico		3921	11	40265	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Luciana		JavaScript Avançado		780	11	42370	Pessoa Jurídica	Lívia	Noite	São Paulo
Florisbela		SQL Básico		980	8	40768	Pessoa Jurídica	Rossana	Integral	São Paulo
Leonardo		SQL Avançado		1020	8	41901	Pessoa Física	Euletério	Madrugada	São Paulo
Carlitos		Css Básico		1340	10	41786	Pessoa Jurídica	Fábio	Quinta-feira	São Paulo
Flaviana		Css Avançado		1870	10	41753	Pessoa Física	Joaquim	Sexta-feira	São Paulo
Santoro		MySQL		1910	9	41346	Pessoa Física	Lívia	Personalizado	São Paulo
Leudissandro		HTML 214		2240	9	42395	Pessoa Física	Fábio	Manhã	São Paulo
Paola		Excel Básico		2479	12	41371	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Andrázio		Excel Intermediário		3200	11	40028	Pessoa Jurídica	Lívia	Noite	São Paulo
Luciana		Excel Avançado		3921	9	41383	Pessoa Jurídica	Rossana	Integral	São Paulo
Florisbela		Excel BI		780	9	40321	Pessoa Física	Euletério	Madrugada	São Paulo
Leonardo		Excel VBA Básico		980	8	40769	Pessoa Jurídica	Fábio	Sábado	São Paulo
Carlitos		Excel VBA avançado		1020	12	41857	Pessoa Física	Joaquim	Domingo	São Paulo
Flaviana		Access + VBA		1340	9	42420	Pessoa Física	Lívia	Personalizado	São Paulo
Santoro		JavaScript Básico		1870	11	41086	Pessoa Física	Rossana	Manhã	São Paulo
Leudissandro		JavaScript Avançado		1910	11	41291	Pessoa Jurídica	Euletério	Tarde	São Paulo
Paola		SQL Básico		2240	11	40552	Pessoa Jurídica	Fábio	Noite	São Paulo
Andrázio		SQL Avançado		2479	12	41662	Pessoa Jurídica	Joaquim	Integral	São Paulo
Luciana		Css Básico		3200	9	40246	Pessoa Física	Lívia	Madrugada	São Paulo
Florisbela		Css Avançado		3921	10	41847	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Leonardo		MySQL		780	8	40116	Pessoa Física	Euletério	Terça-feira	São Paulo
Carlitos		HTML 215		980	12	40043	Pessoa Física	Fábio	Personalizado	São Paulo
Flaviana		Excel Básico		1020	11	40979	Pessoa Física	Joaquim	Manhã	Sergipe
Santoro		Excel Intermediário		1340	11	41016	Pessoa Jurídica	Lívia	Tarde	Alagoas
Leudissandro		Excel Avançado		1870	11	41384	Pessoa Jurídica	Rossana	Noite	Amapá
Paola		Excel BI		1910	8	42336	Pessoa Jurídica	Euletério	Integral	Amazonas
Andrázio		Excel VBA Básico		2240	8	41173	Pessoa Física	Fábio	Madrugada	Bahia
Luciana		Excel VBA avançado		2479	11	42190	Pessoa Jurídica	Joaquim	Quarta-feira	Bahia
Florisbela		Access + VBA		3200	8	41840	Pessoa Física	Lívia	Quinta-feira	Brasília
Leonardo		JavaScript Básico		3921	8	41116	Pessoa Física	Rossana	Personalizado	Ceará
Carlitos		JavaScript Avançado		780	10	41388	Pessoa Física	Euletério	Manhã	Ceará
Flaviana		SQL Básico		980	10	41771	Pessoa Jurídica	Fábio	Tarde	Ceará
Santoro		SQL Avançado		1020	11	42264	Pessoa Jurídica	Joaquim	Noite	Espírito Santo
Leudissandro		Css Básico		1340	10	40865	Pessoa Jurídica	Lívia	Integral	Goiás
Paola		Css Avançado		1870	12	40448	Pessoa Física	Fábio	Madrugada	Mato Grosso do Sul
Andrázio		MySQL		1910	10	40063	Pessoa Jurídica	Joaquim	Sexta-feira	Minas Gerais
Luciana		HTML 216		2240	11	41688	Pessoa Física	Lívia	Sábado	Minas Gerais
Florisbela		Excel Básico		2479	11	41241	Pessoa Física	Rossana	Personalizado	Minas Gerais
Leonardo		Excel Intermediário		3200	10	40961	Pessoa Física	Euletério	Manhã	Pará
Carlitos		Excel Avançado		3921	12	40858	Pessoa Jurídica	Fábio	Tarde	Paraíba
Flaviana		Excel BI		780	11	41037	Pessoa Jurídica	Joaquim	Noite	Paraná
Santoro		Excel VBA Básico		980	8	40956	Pessoa Jurídica	Lívia	Integral	Paraná
Leudissandro		Excel VBA avançado		1020	12	40478	Pessoa Física	Rossana	Madrugada	Paraná
Paola		Access + VBA		1340	10	40578	Pessoa Jurídica	Euletério	Domingo	Paraná
Andrázio		JavaScript Básico		1870	10	42449	Pessoa Física	Fábio	Segunda-feira	Paraná
Luciana		JavaScript Avançado		1910	10	40736	Pessoa Física	Joaquim	Personalizado	Pernambuco
Florisbela		SQL Básico		2240	8	41226	Pessoa Física	Lívia	Manhã	Pernambuco
Leonardo		SQL Avançado		2479	12	41179	Pessoa Jurídica	Rossana	Tarde	Pernambuco
Carlitos		Css Básico		3200	11	41608	Pessoa Jurídica	Euletério	Noite	Rio de Janeiro
Flaviana		Css Avançado		3921	9	40649	Pessoa Jurídica	Fábio	Integral	Rio de Janeiro
Santoro		MySQL		780	10	40589	Pessoa Física	Joaquim	Madrugada	Rio de Janeiro
Leudissandro		HTML 217		980	12	40611	Pessoa Jurídica	Lívia	Terça-feira	Rio de Janeiro
Paola		Excel Básico		1020	10	42401	Pessoa Física	Rossana	Quarta-feira	Rio de Janeiro
Andrázio		Excel Intermediário		1340	10	40903	Pessoa Física	Euletério	Personalizado	Rio Grande do Norte
Luciana		Excel Avançado		1870	8	40323	Pessoa Física	Fábio	Manhã	Rio Grande do Sul
Florisbela		Excel BI		1910	11	41142	Pessoa Jurídica	Joaquim	Tarde	Rio Grande do Sul
Leonardo		Excel VBA Básico		2240	10	42413	Pessoa Jurídica	Lívia	Noite	Rio Grande do Sul
Carlitos		Excel VBA avançado		2479	12	41094	Pessoa Jurídica	Rossana	Integral	Rondônia
Flaviana		Access + VBA		3200	12	40030	Pessoa Física	Euletério	Madrugada	Santa Catarina
Santoro		JavaScript Básico		3921	11	41491	Pessoa Jurídica	Fábio	Quinta-feira	Santa Catarina
Leudissandro		JavaScript Avançado		780	8	40495	Pessoa Física	Joaquim	Sexta-feira	Santa Catarina
Paola		SQL Básico		980	11	41787	Pessoa Física	Lívia	Personalizado	Santa Catarina
Andrázio		SQL Avançado		1020	10	40906	Pessoa Física	Fábio	Manhã	São Paulo
Luciana		Css Básico		1340	10	41361	Pessoa Jurídica	Joaquim	Tarde	São Paulo
Florisbela		Css Avançado		1870	9	41016	Pessoa Jurídica	Lívia	Noite	São Paulo
Leonardo		MySQL		1910	12	41063	Pessoa Jurídica	Rossana	Integral	São Paulo
Carlitos		HTML 218		2240	10	41052	Pessoa Física	Euletério	Madrugada	São Paulo
Flaviana		Excel Básico		2479	11	40760	Pessoa Jurídica	Fábio	Sábado	São Paulo
Santoro		Excel Intermediário		3200	10	41238	Pessoa Física	Joaquim	Domingo	São Paulo
Leudissandro		Excel Avançado		3921	11	41739	Pessoa Física	Lívia	Personalizado	São Paulo
Paola		Excel BI		780	11	41106	Pessoa Física	Rossana	Manhã	São Paulo
Andrázio		Excel VBA Básico		980	11	42168	Pessoa Jurídica	Euletério	Tarde	São Paulo
Luciana		Excel VBA avançado		1020	11	40427	Pessoa Jurídica	Fábio	Noite	São Paulo
Florisbela		Access + VBA		1340	10	40051	Pessoa Jurídica	Joaquim	Integral	São Paulo
Leonardo		JavaScript Básico		1870	9	42278	Pessoa Física	Lívia	Madrugada	São Paulo
Carlitos		JavaScript Avançado		1910	10	40691	Pessoa Jurídica	Rossana	Segunda-feira	São Paulo
Flaviana		SQL Básico		2240	8	41292	Pessoa Física	Euletério	Terça-feira	São Paulo
Santoro		SQL Avançado		2479	9	40618	Pessoa Física	Fábio	Personalizado	São Paulo
Leudissandro		Css Básico		3200	9	41001	Pessoa Física	Joaquim	Manhã	São Paulo
Paola		Css Avançado		3921	11	41176	Pessoa Jurídica	Lívia	Tarde	São Paulo
Andrázio		MySQL		780	8	42338	Pessoa Jurídica	Rossana	Noite	Sergipe
Luciana		HTML 219		980	9	41393	Pessoa Jurídica	Euletério	Integral	São Paulo
Florisbela		Excel Básico		1020	8	40625	Pessoa Física	Fábio	Madrugada	Bahia
Leonardo		Excel Intermediário		1340	8	41640	Pessoa Jurídica	Joaquim	Quarta-feira	Minas Gerais
Carlitos		Excel Avançado		1870	11	41632	Pessoa Física	Lívia	Quinta-feira	Minas Gerais
